id,user,created_at,text
1003771425520529408,OJEntertainment,2018-06-04 22:52:11,HanSolo movie was great Really enjoyed it starwars
1003771047336955904,AllFriendsCast,2018-06-04 22:50:41, New episode just dropped On this episode we talk about SoloAStarWarsStory Check it out Give us a listen and
1003769221606756352,Rybrysmith,2018-06-04 22:43:26, Alden was flat I love the character Hansolo I waited till today to see soloastarwarsstory in an em
1003768043309289472,MetalGearKelan,2018-06-04 22:38:45,Seen SoloAStarWarsStory Check out the 60 Second Game Review of Super Star Wars Return of the Jedi for Game Boy
1003767821782773760,random_tuesday,2018-06-04 22:37:52,In case you missed it Im sharing my review of SoloAStarWarsStory again because I think this  film deser
1003767092838109185,AndSotelo,2018-06-04 22:34:58,After watching Han Solo this is my major conclusion neeeeh HanSolo StarWars moviemonday
1003767040128225281,Rybrysmith,2018-06-04 22:34:46,Well they should have cast AnthonyIngruber now he would have done Hansolo right in soloastarwarsstory Im sad th
1003766845827174400,Ingrid_KV_Hardy,2018-06-04 22:33:59,Why is hansolo failing And is it really Its a really good movie I cannot wait for the next standalone story
1003766597234745345,quirkyfox_,2018-06-04 22:33:00,I dont think I can continue to ship HanSolo and PrincessLeia or GeneralOrgana in good conscience after watchi
1003766197542903809,pliskkin,2018-06-04 22:31:25,hansolo tonight 
1003766103678640129,Malpack1,2018-06-04 22:31:02,The bad boy fell for the good girl  leiaandhan leia hansolo starwars
1003763379276677121,alexanderaviate,2018-06-04 22:20:13,Many an Air Force trainee pilot that did not get their Wings are reflecting on HanSolo Han did 3 years in the Im
1003763288243605504,JosephLalonde,2018-06-04 22:19:51,Great team members can come from the worst places  Leadership lessons from Solo A Star Wars Story
1003762761992626177,anotherswpage,2018-06-04 22:17:46,Great Solo set up at the starwars solo hansolo solosws alamedatheater enfysnest chewbacca
1003762053192904705,seeksboston26mi,2018-06-04 22:14:57,EasterEgg may explain why HanSolo movie from  is bombing at the box office Story from 
1003770877694169088,CBCNS,2018-06-04 22:50:01,CBC Nova Scotia News June 04 2018
1003768336965079040,halifaxnoise,2018-06-04 22:39:55,Metro Transit bus garage harassment victim seeking at least 1M in damages
1003768117171048449,halifaxnoise,2018-06-04 22:39:02,Multicultural festival to return to Dartmouth waterfront
1003767764551598081,maritimepositiv,2018-06-04 22:37:38,Multicultural festival to return to Dartmouth waterfront
1003767666010677248,tzar39,2018-06-04 22:37:15,Take Down Your Birdfeeders Maritimers  via ca
1003767124731551744,ParksCanada,2018-06-04 22:35:06,This Week in History A Peace and Friendship Treaty is signed by the Mikmaq and British governed Nova Scotia in 1
1003765882651402248,TourismCB,2018-06-04 22:30:10,Did you know Nova Scotias tallest waterfall is on Cape Breton Island   North River Falls
1003765864246796289,CBCNS,2018-06-04 22:30:05,Military wants hightech glasses to see what operators are thinking about
1003765378475003904,anymomma,2018-06-04 22:28:09,New Brunswick Canada stares longingly at Nova Scotia
1003764167361417216,InnsOfNS,2018-06-04 22:23:21,Are you a wine lover Well with over 70 grape growers and more than 800 acres under vine there are many wines to
1003763887848808449,Nova_Scotia_Job,2018-06-04 22:22:14,Manager HR Information and Workforce Planning IWK Health Centre Halifax NS to the Dir novascotia eluta
1003763599079280640,JWill_LFDY,2018-06-04 22:21:05, livestockcanadajordancactusjack Dartmouth Nova Scotia Size 10US    
1003763594117328896,weather_ca,2018-06-04 22:21:04,Take Down Your Birdfeeders Maritimers
1003763533979488256,FalseWiki,2018-06-04 22:20:50,Sisuile is a collector road in the Canadian province of Nova Scotia
1003762802123628544,Llaya_G_,2018-06-04 22:17:55,Nova Scotia Mens Full Zip Front Grey Fleece Jacket Size XXL XXLarge by Fundy
1003771133894844416,chicojimj,2018-06-04 22:51:02, I love the whole Spring Creators Update but what I love most is the Talk n Type feature and sync with o
1003766258800709632,nickisonlinet,2018-06-04 22:31:39, its going completely fine right nowthanks for checking in on peopleI did not expect you guys to find this tweet by the way
1003766221819596800,Trillyana,2018-06-04 22:31:31, The drop down to select the monitor to launch the game in is empty If I hit launch in windowed mode it op
1003765323135422466,Katidoodlesmuch,2018-06-04 22:27:56, Ive fixed it now but the past 3 windows 10 updates have adjusted settings with Windows ink amp Photoshops
1003764997988765697,MrNeondwarf,2018-06-04 22:26:39,Windows update today and now my OEM partition appears in the File Explorer Its annoying TBH any suggestions how
1003764838093414400,ajithkhan009,2018-06-04 22:26:01, I have only 3 to 4 hours a day to use my pc after my 14 hours work  1803Update now made me every day t
1003764302703157248,mudkiboose,2018-06-04 22:23:53, Your shitty forced update that provided nothing of use has broken part of my laptop yet again I will NOT
1003764244729430016,ebullientdoll_,2018-06-04 22:23:39, No I like small things so
1003764235283902466,anthonyhunter69,2018-06-04 22:23:37,BW ferris wheel      lumia950XL   
1003762895597928449,ajithkhan009,2018-06-04 22:18:17, Yo windows peoples  u all just did a TERRIBLE mistake by launching stupid version 1803 My computer han
1003762144264015875,nickisonlinet,2018-06-04 22:15:18, yes I was able to update my laptop without a problem
1003760983788093440,mudkiboose,2018-06-04 22:10:42,Hey  itd be great if every update you force on me didnt break part of my fucking laptop
1003759564708122629,deronaucoin,2018-06-04 22:05:03,    learn    
1003758826783498240,galaxyjimin27,2018-06-04 22:02:07, A very long time  since Windows XP
1003757882922487808,UUDreams,2018-06-04 21:58:22, With 12 GB and 1 TB storage and a i7 processor
1003771174797565952,nomacsoup4u,2018-06-04 22:51:11, I think it a much better idea that realDonaldTrump shoot RudyGiuliani instead
1003770829396590593,ezejensen,2018-06-04 22:49:49, Both FecklessGOPAnd let us call or refer to  from now on as FecklessIvankaFittin
1003770562546561024,nfrankb,2018-06-04 22:48:45, Wondering how much loot the Trump Gang turned in after their trips  likely none as they just believed
1003768074129100801,MoBaxley,2018-06-04 22:38:52,The word pardon does not refer to self just as donation is not to oneself nowhere in law do you get to be the judg
1003765975970394117,JamieSunj,2018-06-04 22:30:32,Cynical liarspresssec realDonaldTrump In order to keep their jobThey do what ever possibleLie makers
1003765533706076161,JSMBodywork,2018-06-04 22:28:46, is the only  who moved in2 a smaller house amp fly in an older plane since he took office Oth
1003765453817344000,jeffsnyder72,2018-06-04 22:28:27,For the record  I am planning to pardon myself this year   Part of my development goals realDonaldTrump
1003762124143910912,born_in_tx,2018-06-04 22:15:14,realDonaldTrump realdonaldtrump is the stupidest President ever
1003761849907769345,JamesRBagwell2,2018-06-04 22:14:08,realDonaldTrump I Not SurprisedBut I Am Sicken By The Way The Brain Dead Dishonest Media amp The ASSHOLE  Liberals
1003761348260462592,karatem8,2018-06-04 22:12:09,Q QAnon GreatAwakening Potus realDonaldTrumphappybird  NO MORE Mourning bird Never heard of that kind of bird oh well
1003761275816554496,ATL54,2018-06-04 22:11:51, Little Rocket Man should be very careful Noone will check realdonaldtrump for a concealed weapon
1003760819203649537,sobaliving,2018-06-04 22:10:02,Our ENTIRE clinical team works together seamlessly  alcohol drugs  wsj nytimes reuters
1003759248646508545,Randy_Indy,2018-06-04 22:03:48,I has a dream that realdonaldtrump had a severe stroke and Ivankatrump was in a fatal crash on the way to the ho
1003758511883370496,1PhoenixOne,2018-06-04 22:00:52,HallmarkChannel RealDonaldTrump I just watched the movie Loves Complicated on the Hallmark Channel In the movie
1003757390854934529,nomacsoup4u,2018-06-04 21:56:25, Her father would knock realDonaldTrump out with a single punch Ronnie was a real man Donnie is a dr
